category,wordvector1,wordvector2,wordvector3,wordvector4,wordvector5,wordvector6,wordvector7,wordvector8,wordvector9,wordvector10,wordvector11,wordvector12,wordvector13,wordvector14,wordvector15,wordvector16,wordvector17,wordvector18,wordvector19,wordvector20,wordvector21,wordvector22,wordvector23,wordvector24,wordvector25,wordvector26,wordvector27,wordvector28,wordvector29,wordvector30,wordvector31,wordvector32,wordvector33,wordvector34,wordvector35,wordvector36,wordvector37,wordvector38,wordvector39,wordvector40,wordvector41,wordvector42,wordvector43,wordvector44,wordvector45,wordvector46,wordvector47,wordvector48,wordvector49,wordvector50,wordvector51,wordvector52,wordvector53,wordvector54,wordvector55,wordvector56,wordvector57,wordvector58,wordvector59,wordvector60,wordvector61,wordvector62,wordvector63,wordvector64,wordvector65,wordvector66,wordvector67,wordvector68,wordvector69,wordvector70,wordvector71,wordvector72,wordvector73,wordvector74,wordvector75,wordvector76,wordvector77,wordvector78,wordvector79,wordvector80,wordvector81,wordvector82,wordvector83,wordvector84,wordvector85,wordvector86,wordvector87,wordvector88,wordvector89,wordvector90,wordvector91,wordvector92,wordvector93,wordvector94,wordvector95,wordvector96,wordvector97,wordvector98,wordvector99,wordvector100,wordvector101,wordvector102,wordvector103,wordvector104,wordvector105,wordvector106,wordvector107,wordvector108,wordvector109,wordvector110,wordvector111,wordvector112,wordvector113,wordvector114,wordvector115,wordvector116,wordvector117,wordvector118,wordvector119,wordvector120,wordvector121,wordvector122,wordvector123,wordvector124,wordvector125,wordvector126,wordvector127,wordvector128,wordvector129,wordvector130,wordvector131,wordvector132,wordvector133,wordvector134,wordvector135,wordvector136,wordvector137,wordvector138,wordvector139,wordvector140,wordvector141,wordvector142,wordvector143,wordvector144,wordvector145,wordvector146,wordvector147,wordvector148,wordvector149,wordvector150,wordvector151,wordvector152,wordvector153,wordvector154,wordvector155,wordvector156,wordvector157,wordvector158,wordvector159,wordvector160,wordvector161,wordvector162,wordvector163,wordvector164,wordvector165,wordvector166,wordvector167,wordvector168,wordvector169,wordvector170,wordvector171,wordvector172,wordvector173,wordvector174,wordvector175,wordvector176,wordvector177,wordvector178,wordvector179,wordvector180,wordvector181,wordvector182,wordvector183,wordvector184,wordvector185,wordvector186,wordvector187,wordvector188,wordvector189,wordvector190,wordvector191,wordvector192,wordvector193,wordvector194,wordvector195,wordvector196,wordvector197,wordvector198,wordvector199,wordvector200,wordvector201,wordvector202,wordvector203,wordvector204,wordvector205,wordvector206,wordvector207,wordvector208,wordvector209,wordvector210,wordvector211,wordvector212,wordvector213,wordvector214,wordvector215,wordvector216,wordvector217,wordvector218,wordvector219,wordvector220,wordvector221,wordvector222,wordvector223,wordvector224,wordvector225,wordvector226,wordvector227,wordvector228,wordvector229,wordvector230,wordvector231,wordvector232,wordvector233,wordvector234,wordvector235,wordvector236,wordvector237,wordvector238,wordvector239,wordvector240,wordvector241,wordvector242,wordvector243,wordvector244,wordvector245,wordvector246,wordvector247,wordvector248,wordvector249,wordvector250,wordvector251,wordvector252,wordvector253,wordvector254,wordvector255,wordvector256,wordvector257,wordvector258,wordvector259,wordvector260,wordvector261,wordvector262,wordvector263,wordvector264,wordvector265,wordvector266,wordvector267,wordvector268,wordvector269,wordvector270,wordvector271,wordvector272,wordvector273,wordvector274,wordvector275,wordvector276,wordvector277,wordvector278,wordvector279,wordvector280,wordvector281,wordvector282,wordvector283,wordvector284,wordvector285,wordvector286,wordvector287,wordvector288,wordvector289,wordvector290,wordvector291,wordvector292,wordvector293,wordvector294,wordvector295,wordvector296,wordvector297,wordvector298,wordvector299,wordvector300,elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
Sports,0.061380453,0.134392396,-0.112219654,-0.028932672,0.12731421,0.002327088,0.001681267,-0.15104425,-0.006158559,1.834214926,-0.26044938,0.13661617,0.056923132,-0.06495735,-0.094308473,-0.069021255,-0.089702763,1.300245523,-0.09465313,-0.02641198,-0.106247902,0.014630154,-0.076810978,-0.038769715,0.068935998,0.093233116,-0.077261575,-0.087181412,0.048831776,0.016324384,0.075639315,-0.046821296,0.029528556,0.095693059,-0.022633206,-0.062537275,0.025563315,0.067027874,-0.017079696,-0.017392583,-0.084352255,0.010596202,0.050676577,-0.100718431,-0.126890853,0.110422015,-0.058749922,0.088644229,0.026923249,-0.007249667,-0.027864061,-0.099441297,0.04993654,-0.009685192,-0.047410037,0.002000531,0.003408459,-0.068783872,-0.027904427,-0.027928995,0.060534127,0.017065279,-0.011079334,0.163449377,0.070942342,-0.01503212,-0.010787879,0.092712723,0.007420504,0.131641328,0.090497181,0.056651317,0.206831902,-0.043061674,0.12888056,0.004906215,0.13514547,-0.056686997,0.01895394,0.224656716,0.001066144,0.040341258,-0.11937429,-0.022339292,-0.0111798,-0.040999778,-0.034849875,0.164077893,0.307477742,-0.00859786,-0.052133616,0.06467779,0.020799646,0.022591215,0.046963386,-0.081914037,-0.085979864,-0.051352322,-0.016400151,0.043949347,-0.033355664,-0.038607467,-0.085117109,-0.030195113,0.08728113,-0.478312314,0.112326004,0.061669081,0.079536691,0.025985587,0.048476387,-0.161829188,0.12237931,-0.007190309,-0.023010775,-0.06495066,0.069674022,0.052469473,-0.084340751,0.014007362,0.046003532,-0.009105344,0.004897084,-0.050478324,-0.041182943,0.013071111,-0.003445412,-0.058098733,0.08192987,0.00475912,0.033201076,-0.082904309,-0.064769424,-0.067245409,-0.021684943,0.030476253,0.039984781,-0.034295533,0.0297911,-0.000616761,-0.792337179,0.059243798,0.11385864,-0.079694249,0.012169027,-0.022146622,0.04116575,0.013682974,-0.016982878,-0.008698553,0.014127836,0.056538392,0.036496636,0.007701265,-0.039295137,0.085019052,0.006766294,-0.02875389,0.028514605,-0.04612102,0.014168004,0.026069039,0.014030945,-0.172437906,-0.045993857,-0.108003415,0.084427312,0.033527792,0.14022696,-0.002791703,-0.017502327,0.020194367,-0.023346916,-0.012132297,-0.036130514,0.066133603,-0.036641393,-0.04040014,0.008407684,0.080727667,0.051546965,-0.075956926,-0.113019392,-0.002548483,-0.013042841,-0.005685129,-0.008281125,-0.026826352,-0.041201763,-0.038769905,-0.059792016,0.007190332,0.035153076,0.056722671,0.001053576,0.07801491,-0.079123437,-0.034654561,0.030376583,0.268677384,0.049598448,-0.132102281,-0.040837243,0.020118641,0.181206644,0.045908336,0.030759677,0.052683916,-0.026926322,0.005745122,-0.026122911,-0.104815215,-0.046699692,-0.125135928,0.03314646,0.119852811,-0.036024529,-0.018392941,-0.256146938,0.133484855,0.040068138,-0.010788678,-0.084004164,0.094827414,0.002156454,-0.066110142,-0.055737242,0.093555361,0.031361781,-0.02308418,-0.002698068,0.013698203,0.107007757,0.083568707,-0.019897375,-0.016539061,-0.080145091,-0.116795637,-0.034573637,0.073485598,0.02310843,0.037990805,-0.018507648,0.045941707,0.152335539,-0.168250039,-0.144676253,-0.021502731,-0.154937565,0.086704589,0.040329657,0.009262539,-0.128039077,-0.025654819,0.047746386,0.313195437,0.037285883,-0.114561431,-0.09119653,-0.008149469,0.086729452,0.096543804,0.050012358,0.018906159,-0.030973515,-0.178038388,-0.0636039,0.00260291,0.423281163,-0.066054203,-0.058472112,-0.034972448,0.042467125,-0.089506961,-0.02996977,0.02537428,0.022166172,0.054562785,-0.005415799,0.07312838,0.146986142,0.016581714,0.061221074,0.006175989,-0.004488389,-0.113992892,0.131754577,-0.07660047,0.116478294,-0.051080979,-0.212276191,0.031118106,-0.010218145,-0.001757,-0.001485473,-0.057412315,-0.028206697,-0.075245366,0.04747884,0.158857822,tvMore,USE_FINGERPRINT,fill_parent,wrap_content,@color/Red,@string/show_more,@dimen/textMediumLeast,,
Sports,0.061380453,0.134392396,-0.112219654,-0.028932672,0.12731421,0.002327088,0.001681267,-0.15104425,-0.006158559,1.834214926,-0.26044938,0.13661617,0.056923132,-0.06495735,-0.094308473,-0.069021255,-0.089702763,1.300245523,-0.09465313,-0.02641198,-0.106247902,0.014630154,-0.076810978,-0.038769715,0.068935998,0.093233116,-0.077261575,-0.087181412,0.048831776,0.016324384,0.075639315,-0.046821296,0.029528556,0.095693059,-0.022633206,-0.062537275,0.025563315,0.067027874,-0.017079696,-0.017392583,-0.084352255,0.010596202,0.050676577,-0.100718431,-0.126890853,0.110422015,-0.058749922,0.088644229,0.026923249,-0.007249667,-0.027864061,-0.099441297,0.04993654,-0.009685192,-0.047410037,0.002000531,0.003408459,-0.068783872,-0.027904427,-0.027928995,0.060534127,0.017065279,-0.011079334,0.163449377,0.070942342,-0.01503212,-0.010787879,0.092712723,0.007420504,0.131641328,0.090497181,0.056651317,0.206831902,-0.043061674,0.12888056,0.004906215,0.13514547,-0.056686997,0.01895394,0.224656716,0.001066144,0.040341258,-0.11937429,-0.022339292,-0.0111798,-0.040999778,-0.034849875,0.164077893,0.307477742,-0.00859786,-0.052133616,0.06467779,0.020799646,0.022591215,0.046963386,-0.081914037,-0.085979864,-0.051352322,-0.016400151,0.043949347,-0.033355664,-0.038607467,-0.085117109,-0.030195113,0.08728113,-0.478312314,0.112326004,0.061669081,0.079536691,0.025985587,0.048476387,-0.161829188,0.12237931,-0.007190309,-0.023010775,-0.06495066,0.069674022,0.052469473,-0.084340751,0.014007362,0.046003532,-0.009105344,0.004897084,-0.050478324,-0.041182943,0.013071111,-0.003445412,-0.058098733,0.08192987,0.00475912,0.033201076,-0.082904309,-0.064769424,-0.067245409,-0.021684943,0.030476253,0.039984781,-0.034295533,0.0297911,-0.000616761,-0.792337179,0.059243798,0.11385864,-0.079694249,0.012169027,-0.022146622,0.04116575,0.013682974,-0.016982878,-0.008698553,0.014127836,0.056538392,0.036496636,0.007701265,-0.039295137,0.085019052,0.006766294,-0.02875389,0.028514605,-0.04612102,0.014168004,0.026069039,0.014030945,-0.172437906,-0.045993857,-0.108003415,0.084427312,0.033527792,0.14022696,-0.002791703,-0.017502327,0.020194367,-0.023346916,-0.012132297,-0.036130514,0.066133603,-0.036641393,-0.04040014,0.008407684,0.080727667,0.051546965,-0.075956926,-0.113019392,-0.002548483,-0.013042841,-0.005685129,-0.008281125,-0.026826352,-0.041201763,-0.038769905,-0.059792016,0.007190332,0.035153076,0.056722671,0.001053576,0.07801491,-0.079123437,-0.034654561,0.030376583,0.268677384,0.049598448,-0.132102281,-0.040837243,0.020118641,0.181206644,0.045908336,0.030759677,0.052683916,-0.026926322,0.005745122,-0.026122911,-0.104815215,-0.046699692,-0.125135928,0.03314646,0.119852811,-0.036024529,-0.018392941,-0.256146938,0.133484855,0.040068138,-0.010788678,-0.084004164,0.094827414,0.002156454,-0.066110142,-0.055737242,0.093555361,0.031361781,-0.02308418,-0.002698068,0.013698203,0.107007757,0.083568707,-0.019897375,-0.016539061,-0.080145091,-0.116795637,-0.034573637,0.073485598,0.02310843,0.037990805,-0.018507648,0.045941707,0.152335539,-0.168250039,-0.144676253,-0.021502731,-0.154937565,0.086704589,0.040329657,0.009262539,-0.128039077,-0.025654819,0.047746386,0.313195437,0.037285883,-0.114561431,-0.09119653,-0.008149469,0.086729452,0.096543804,0.050012358,0.018906159,-0.030973515,-0.178038388,-0.0636039,0.00260291,0.423281163,-0.066054203,-0.058472112,-0.034972448,0.042467125,-0.089506961,-0.02996977,0.02537428,0.022166172,0.054562785,-0.005415799,0.07312838,0.146986142,0.016581714,0.061221074,0.006175989,-0.004488389,-0.113992892,0.131754577,-0.07660047,0.116478294,-0.051080979,-0.212276191,0.031118106,-0.010218145,-0.001757,-0.001485473,-0.057412315,-0.028206697,-0.075245366,0.04747884,0.158857822,ivInfo,INTERNET,25.0dip,wrap_content,,,,,
Sports,0.061380453,0.134392396,-0.112219654,-0.028932672,0.12731421,0.002327088,0.001681267,-0.15104425,-0.006158559,1.834214926,-0.26044938,0.13661617,0.056923132,-0.06495735,-0.094308473,-0.069021255,-0.089702763,1.300245523,-0.09465313,-0.02641198,-0.106247902,0.014630154,-0.076810978,-0.038769715,0.068935998,0.093233116,-0.077261575,-0.087181412,0.048831776,0.016324384,0.075639315,-0.046821296,0.029528556,0.095693059,-0.022633206,-0.062537275,0.025563315,0.067027874,-0.017079696,-0.017392583,-0.084352255,0.010596202,0.050676577,-0.100718431,-0.126890853,0.110422015,-0.058749922,0.088644229,0.026923249,-0.007249667,-0.027864061,-0.099441297,0.04993654,-0.009685192,-0.047410037,0.002000531,0.003408459,-0.068783872,-0.027904427,-0.027928995,0.060534127,0.017065279,-0.011079334,0.163449377,0.070942342,-0.01503212,-0.010787879,0.092712723,0.007420504,0.131641328,0.090497181,0.056651317,0.206831902,-0.043061674,0.12888056,0.004906215,0.13514547,-0.056686997,0.01895394,0.224656716,0.001066144,0.040341258,-0.11937429,-0.022339292,-0.0111798,-0.040999778,-0.034849875,0.164077893,0.307477742,-0.00859786,-0.052133616,0.06467779,0.020799646,0.022591215,0.046963386,-0.081914037,-0.085979864,-0.051352322,-0.016400151,0.043949347,-0.033355664,-0.038607467,-0.085117109,-0.030195113,0.08728113,-0.478312314,0.112326004,0.061669081,0.079536691,0.025985587,0.048476387,-0.161829188,0.12237931,-0.007190309,-0.023010775,-0.06495066,0.069674022,0.052469473,-0.084340751,0.014007362,0.046003532,-0.009105344,0.004897084,-0.050478324,-0.041182943,0.013071111,-0.003445412,-0.058098733,0.08192987,0.00475912,0.033201076,-0.082904309,-0.064769424,-0.067245409,-0.021684943,0.030476253,0.039984781,-0.034295533,0.0297911,-0.000616761,-0.792337179,0.059243798,0.11385864,-0.079694249,0.012169027,-0.022146622,0.04116575,0.013682974,-0.016982878,-0.008698553,0.014127836,0.056538392,0.036496636,0.007701265,-0.039295137,0.085019052,0.006766294,-0.02875389,0.028514605,-0.04612102,0.014168004,0.026069039,0.014030945,-0.172437906,-0.045993857,-0.108003415,0.084427312,0.033527792,0.14022696,-0.002791703,-0.017502327,0.020194367,-0.023346916,-0.012132297,-0.036130514,0.066133603,-0.036641393,-0.04040014,0.008407684,0.080727667,0.051546965,-0.075956926,-0.113019392,-0.002548483,-0.013042841,-0.005685129,-0.008281125,-0.026826352,-0.041201763,-0.038769905,-0.059792016,0.007190332,0.035153076,0.056722671,0.001053576,0.07801491,-0.079123437,-0.034654561,0.030376583,0.268677384,0.049598448,-0.132102281,-0.040837243,0.020118641,0.181206644,0.045908336,0.030759677,0.052683916,-0.026926322,0.005745122,-0.026122911,-0.104815215,-0.046699692,-0.125135928,0.03314646,0.119852811,-0.036024529,-0.018392941,-0.256146938,0.133484855,0.040068138,-0.010788678,-0.084004164,0.094827414,0.002156454,-0.066110142,-0.055737242,0.093555361,0.031361781,-0.02308418,-0.002698068,0.013698203,0.107007757,0.083568707,-0.019897375,-0.016539061,-0.080145091,-0.116795637,-0.034573637,0.073485598,0.02310843,0.037990805,-0.018507648,0.045941707,0.152335539,-0.168250039,-0.144676253,-0.021502731,-0.154937565,0.086704589,0.040329657,0.009262539,-0.128039077,-0.025654819,0.047746386,0.313195437,0.037285883,-0.114561431,-0.09119653,-0.008149469,0.086729452,0.096543804,0.050012358,0.018906159,-0.030973515,-0.178038388,-0.0636039,0.00260291,0.423281163,-0.066054203,-0.058472112,-0.034972448,0.042467125,-0.089506961,-0.02996977,0.02537428,0.022166172,0.054562785,-0.005415799,0.07312838,0.146986142,0.016581714,0.061221074,0.006175989,-0.004488389,-0.113992892,0.131754577,-0.07660047,0.116478294,-0.051080979,-0.212276191,0.031118106,-0.010218145,-0.001757,-0.001485473,-0.057412315,-0.028206697,-0.075245366,0.04747884,0.158857822,tvSkip,ACCESS_FINE_LOCATION,wrap_content,wrap_content,@color/white,@string/ssc_skip,@dimen/textMediumLeast,,
