target,elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
1,bind_weibo,INTERNET,wrap_content,fill_parent,#ff333333,微博,16.0sp,,
1,bind_weibo,GET_TASKS,,,,,,,
1,bind_weibo,BROADCAST_STICKY,,,,,,,
1,bind_weibo,ACCESS_WIFI_STATE,,,,,,,
1,bind_weibo,READ_PHONE_STATE,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,INTERNET,,,,,,,
1,bind_weibo,BROADCAST_STICKY,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_COARSE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,ACCESS_WIFI_STATE,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,READ_PHONE_STATE,,,,,,,
1,bind_weibo,INTERNET,,,,,,,
1,bind_weibo,GET_TASKS,,,,,,,
1,bind_weibo,BROADCAST_STICKY,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_COARSE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,ACCESS_WIFI_STATE,,,,,,,
1,bind_weibo,READ_PHONE_STATE,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,READ_PHONE_STATE,,,,,,,
1,bind_weibo,INTERNET,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_COARSE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_FINE_LOCATION,,,,,,,
1,bind_weibo,ACCESS_NETWORK_STATE,,,,,,,
1,bind_weibo,ACCESS_WIFI_STATE,,,,,,,
1,bind_weibo,READ_PHONE_STATE,,,,,,,
1,bind_weibo,INTERNET,,,,,,,
1,title,GET_TASKS,fill_parent,wrap_content,,,,,
1,title,ACCESS_NETWORK_STATE,fill_parent,wrap_content,,,,,
1,title,ACCESS_WIFI_STATE,fill_parent,wrap_content,,,,,
1,title,READ_PHONE_STATE,fill_parent,wrap_content,,,,,
1,title,ACCESS_NETWORK_STATE,fill_parent,wrap_content,,,,,
1,unit_textView_approval_quantity,GET_TASKS,wrap_content,wrap_content,@color/bottom,0,,,
1,unit_textView_approval_quantity,ACCESS_NETWORK_STATE,wrap_content,wrap_content,@color/bottom,0,,,
1,unit_textView_approval_quantity,ACCESS_WIFI_STATE,wrap_content,wrap_content,@color/bottom,0,,,
1,unit_textView_approval_quantity,READ_PHONE_STATE,wrap_content,wrap_content,@color/bottom,0,,,
1,unit_textView_approval_quantity,ACCESS_NETWORK_STATE,wrap_content,wrap_content,@color/bottom,0,,,
1,setting_morepage_row4,GET_TASKS,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,BROADCAST_STICKY,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_COARSE_LOCATION,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,INTERNET,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,GET_TASKS,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,BROADCAST_STICKY,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,INTERNET,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,GET_TASKS,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,BROADCAST_STICKY,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,INTERNET,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
1,setting_morepage_row4,GET_TASKS,,,,,,,
1,setting_morepage_row4,BROADCAST_STICKY,,,,,,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
1,setting_morepage_row4,READ_PHONE_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,INTERNET,,,,,,,
1,setting_morepage_row4,BROADCAST_STICKY,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,READ_PHONE_STATE,,,,,,,
1,setting_morepage_row4,INTERNET,,,,,,,
1,setting_morepage_row4,GET_TASKS,,,,,,,
1,setting_morepage_row4,BROADCAST_STICKY,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
1,setting_morepage_row4,READ_PHONE_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,READ_PHONE_STATE,,,,,,,
1,setting_morepage_row4,INTERNET,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
1,setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
1,setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
