45,8.51,Q45,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,compassView,onemap2.xml
46,21.28,Q46,CAMERA,NLBMobile_v2.8.1_apkpure.com.apk,~const,facebookShare: imageUrl:
47,97.87,Q47,CAMERA,NLB,oncreate,scanneractivity
48,89.36,Q48,RECORD_AUDIO,myresponder,camera_video_view,
49,91.49,Q49,CAMERA,myresponder,camera_view,
50,80.85,Q50,CAMERA,myresponder,fragment_aed,
1,75.00,Q108,INTERNET,ActiveSG_v2.7.12_apkpure.com.apk,LLNavBuy,include_homepage_bottom.xml
2,60.71,Q109,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,lv_sch_search_list,activity_school_search.xml
3,75.00,Q110,INTERNET,OneMap_v2.2.4_apkpure.com.apk,map_view,onemap2.xml
4,85.71,Q111,READ_CALENDAR,ActiveSG_v2.7.12_apkpure.com.apk,btnAddMember,fragment_add_member.xml
5,71.43,Q112,WRITE_EXTERNAL_STORAGE,myENV_v2.7.18_apkpure.com.apk,wrap_filter_1,fragment_lightning.xml
6,17.86,Q113,VIBRATE,ActiveSG_v2.7.12_apkpure.com.apk,tvProgrammeName,program_list_item_layout.xml
7,35.71,Q114,ACCESS_COARSE_LOCATION,myENV_v2.7.18_apkpure.com.apk,btn_region_haze_map_type_2,layout_region_haze_map_type.xml
8,21.43,Q115,VIBRATE,OneMap_v2.2.4_apkpure.com.apk,iv_new_notifications,onemap2.xml
9,46.43,Q116,WRITE_EXTERNAL_STORAGE,OneMap_v2.2.4_apkpure.com.apk,btn_close_category_activity,activity_chose_property_query_category.xml
10,82.14,Q117,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,ll_bus,fragment_search_journey_planner.xml
11,75.00,Q118,INTERNET,OneMap_v2.2.4_apkpure.com.apk,et_search1,fragment_address_search.xml
12,96.43,Q119,READ_CALENDAR,OneMap_v2.2.4_apkpure.com.apk,img_btn_info_sq,fragment_school_query.xml
13,14.29,Q120,READ_CONTACTS,OneMap_v2.2.4_apkpure.com.apk,tv_covid_phpc_phone,fragment_covid_phpc.xml
14,78.57,Q121,WRITE_SMS,myENV_v2.7.18_apkpure.com.apk,btnDelete,list_item_hea_manage_appliance.xml
15,28.57,Q122,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,ll_drive,fragment_search_journey_planner.xml
16,85.71,Q123,INTERNET,myENV_v2.7.18_apkpure.com.apk,btnAskJamie,fragment_side_menu.xml
17,71.43,Q124,ACCESS_NETWORK_STATE,NLBMobile_v2.8.1_apkpure.com.apk,btnhist,sample_tab_app.xml
18,75.00,Q125,INTERNET,ActiveSG_v2.7.12_apkpure.com.apk,LLNavFacilities,include_homepage_bottom.xml
20,53.57,Q127,WRITE_EXTERNAL_STORAGE,OneMap_v2.2.4_apkpure.com.apk,tb_landownership,fragment_land_query.xml
21,85.71,Q128,INTERNET,PoliceSG_v3.2.8_apkpure.com.apk,linearBaseIW,main.xml
22,75.00,Q129,ACCESS_NETWORK_STATE,OneMap_v2.2.4_apkpure.com.apk,fab_currentloc,onemap2.xml
23,75.00,Q130,SEND_SMS,myENV_v2.7.18_apkpure.com.apk,iv_locate_me,fragment_lightning.xml
24,82.14,Q131,INTERNET,OneMap_v2.2.4_apkpure.com.apk,ll_transit,fragment_search_journey_planner.xml
25,39.29,Q132,ACCESS_NETWORK_STATE,ActiveSG_v2.7.12_apkpure.com.apk,ivLogOut,activity_main.xml
26,53.57,Q133,ACCESS_NETWORK_STATE,OneMap_v2.2.4_apkpure.com.apk,venue_address,fragment_foursquare.xml
27,60.71,Q134,INTERNET,OneMap_v2.2.4_apkpure.com.apk,viewpager_tutorial,activity_tutorial.xml
28,21.43,Q135,USE_FINGERPRINT,ActiveSG_v2.7.12_apkpure.com.apk,LLNavMyHealth,include_homepage_bottom.xml
29,60.71,Q136,ACCESS_NETWORK_STATE,myENV_v2.7.18_apkpure.com.apk,wrap_filter_2,fragment_lightning.xml
30,28.57,Q137,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,imgview_main_back,onemap2.xml
31,82.14,Q138,INTERNET,OneMap_v2.2.4_apkpure.com.apk,ll_walk,fragment_search_journey_planner.xml
32,75.00,Q139,INTERNET,ActiveSG_v2.7.12_apkpure.com.apk,LLNavProgrammes,include_homepage_bottom.xml
33,39.29,Q140,INTERNET,OneMap_v2.2.4_apkpure.com.apk,img_btn_closebasemap,onemap2.xml
34,39.29,Q141,ACCESS_COARSE_LOCATION,OneMap_v2.2.4_apkpure.com.apk,imgbtn_searchsch_back,activity_school_search.xml
35,39.29,Q142,ACCESS_NETWORK_STATE,myENV_v2.7.18_apkpure.com.apk,btnTips,list_item_hea_compare_usage.xml
36,85.71,Q143,INTERNET,myENV_v2.7.18_apkpure.com.apk,btn_region_haze_map_type_3,layout_region_haze_map_type.xml
