target,elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
0,btnhist,CAMERA,0.0dip,84.0dip,,SCAN HISTORY,,,
1,LLNavFacilities,ACCESS_NETWORK_STATE,wrap_content,wrap_content,@color/Gray,@string/ssc_facilities,11.0sp,100,
1,tb_landownership,INTERNET,fill_parent,44.0dip,@color/landownership_text,View Land Ownership,18.0dip,,
0,linearBaseIW,ACCESS_COARSE_LOCATION,,,,,,,
0,iv_locate_me,INTERNET,wrap_content,wrap_content,,,,,
0,ll_transit,ACCESS_FINE_LOCATION,47.0dip,47.0dip,,,,,
0,ivLogOut,READ_CALENDAR,35.0dip,35.0dip,,,,,
0,venue_address,ACCESS_COARSE_LOCATION,wrap_content,wrap_content,,Address,,,
0,viewpager_tutorial,ACCESS_ NETWORK_STATE,fill_parent,fill_parent,,,,,
0,LLNavMyHealth,INTERNET,wrap_content,wrap_content,@color/Gray,@string/game_on,11.0sp,,
0,wrap_filter_2,ACCESS_COARSE_LOCATION,0.0dip,wrap_content,@color/white,@string/lightning_filter_c_to_c,16.0dip,,
0,ll_walk,ACCESS_FINE_LOCATION,47.0dip,47.0dip,,,,,
1,LLNavProgrammes,READ_CALENDAR,wrap_content,wrap_content,@color/Gray,@string/navigation_programmes,11.0sp,-,
1,btnTips,READ_EXTERNAL_STORAGE,fill_parent,36.0dip,@color/light_green,@string/life_cycle_appliance_overview_tips,@dimen/header_100,,
0,btn_region_haze_map_type_3,SEND_SMS,wrap_content,wrap_content,,,,,
1,tb_landlot,ACCESS_COARSE_LOCATION,fill_parent,44.0dip,@color/landlot_text,,18.0dip,,
0,et_tenure_lotnum3,READ_CONTACTS,wrap_content,44.0dip,,,12.0dip,,
0,venue_more_info,ACCESS_COARSE_LOCATION,wrap_content,wrap_content,@color/property_hdb_pink,Click here for more information,,,
0,ivCenterActivesgMenu,READ_EXTERNAL_STORAGE,65.0dip,wrap_content,,,,,
0,tvAddCurrentLocation,ACCESS_FINE_LOCATION,0.0dip,25.0dip,@color/white,@string/lbl_add,,,
1,tv_search_field,ACCESS_NETWORK_STATE,fill_parent,@dimen/text_field_height,@color/normal_text_color,,@dimen/search_text_size,,
